name,gender,probability
monroe,female,0.74
byron,male,0.99
edd,female,0.58
emery,female,0.88
grant,male,1
jerome,male,0.98
max,male,0.99
mose,male,0.68
steve,male,0.98
gordon,male,0.98
abe,male,1
pete,male,0.93
chris,male,0.99
clark,male,0.98
gustave,male,1
orville,male,0.71
lorenzo,male,1
bruce,male,0.99
marcus,male,1
preston,male,0.99
bob,male,0.74
dock,male,1
donald,male,0.99
jackson,male,1
barney,male,0.55
delbert,male,0.81
edmond,male,0.92
anderson,male,0.94
christian,male,0.98
jefferson,male,1
luke,male,1
neal,male,0.97
burt,male,1
ike,male,1
myron,male,0.94
tony,male,0.99
conrad,male,0.99
joel,male,1
matt,male,0.92
riley,female,0.73
vincent,male,1
emory,female,0.63
isaiah,male,1
nick,male,0.96
ezra,male,0.95
green,male,1
juan,male,1
clifton,male,0.93
lucius,male,1
porter,male,0.94
arnold,male,0.94
bud,male,1
jeremiah,male,1
taylor,female,0.85
forrest,male,0.98
roland,male,0.99
spencer,male,0.86
burton,male,0.87
don,male,0.96
emmet,male,1
gustav,male,1
morgan,female,0.88
ned,male,0.77
van,male,0.92
ambrose,male,1
chauncey,male,0.92
elisha,male,0.71
ferdinand,male,1
general,male,1
julian,male,1
kenneth,male,1
mitchell,male,0.99
josh,male,1
judson,male,1
lyman,male,1
napoleon,male,0.78
pedro,male,0.99
berry,male,0.58
dewitt,male,1
ervin,male,0.95
forest,male,0.96
pink,female,0.5
ruben,male,0.99
sanford,male,1
ward,male,0.69
douglas,male,0.99
ole,male,1
omer,male,0.94
ulysses,male,0.97
walker,male,0.98
wilbert,male,0.83
adelbert,male,1
benjiman,male,1
ivan,male,1
jonas,male,0.99
major,male,0.99
abner,male,1
archibald,male,1
caleb,male,1
clint,male,0.95
dudley,male,0.54
granville,male,1
king,male,1
merton,male,1
antonio,male,1
carroll,male,0.64
freeman,male,0.84
josiah,male,1
milo,male,0.99
royal,male,0.64
dick,female,0.5
earle,male,0.55
elza,female,0.71
emerson,female,0.6
fletcher,male,0.98
judge,male,1
laurence,male,0.92
neil,male,0.99
roger,male,0.99
seth,male,1
glen,male,0.95
hugo,male,0.99
washington,male,1
elwood,male,0.87
gust,male,1
harmon,male,0.79
jordan,male,0.84
simeon,male,0.98
wayne,male,0.98
wilber,male,0.89
clem,female,0.55
evan,male,0.98
frederic,male,1
irwin,male,0.72
junius,male,1
lafayette,male,0.63
loren,female,0.6
madison,female,0.99
mason,male,0.99
orval,female,0.5
abram,male,1
aubrey,female,0.98
elliott,male,0.82
hans,male,0.96
karl,male,0.95
minor,female,0.55
wash,male,1
wilfred,male,0.82
allan,male,0.99
alphonse,male,1
dallas,male,0.72
isiah,male,0.97
jason,male,1
johnny,male,0.99
lawson,male,0.96
lew,female,0.5
micheal,male,0.98
orin,male,0.94
addison,female,0.98
cal,male,0.97
erastus,male,1
francisco,male,1
hardy,male,0.9
lucien,male,0.97
randolph,male,0.9
stewart,male,0.89
vern,male,0.57
wilmer,male,0.94
zack,male,1
adrian,male,0.99
alvah,female,0.5
bertram,male,1
clay,male,0.99
ephraim,male,1
fritz,male,1
giles,male,1
grover,male,0.76
harris,male,0.97
isom,male,1
jesus,male,1
johnie,male,0.67
jonathan,male,1
lucian,male,0.99
malcolm,male,0.99
merritt,female,0.53
otho,male,1
perley,male,0.64
rolla,male,0.55
sandy,female,0.92
tomas,male,0.99
wilford,male,0.67
adolphus,male,1
angus,male,1
arther,female,0.55
carlos,male,1
cary,male,0.82
cassius,male,1
davis,male,0.96
hamilton,male,1
harve,male,1
israel,male,0.96
leander,male,0.92
melville,female,0.58
murray,male,0.9
pleasant,female,0.55
sterling,male,0.87
steven,male,1
axel,male,1
boyd,male,0.94
bryant,male,0.98
clement,male,0.88
erwin,male,0.89
ezekiel,male,1
foster,male,0.95
geo,male,0.79
houston,male,0.95
issac,male,0.99
jules,male,0.58
larkin,female,0.66
mat,male,1
morton,male,0.58
orlando,male,0.99
pierce,male,0.97
prince,male,0.99
rollie,male,0.74
rollin,male,1
sim,male,1
stuart,male,0.94
wilburn,male,0.55
bennett,male,0.96
casper,male,1
christ,male,0.88
egbert,male,1
elmo,female,0.5
gabriel,male,1
hector,male,0.99
horatio,male,1
lige,male,1
saul,male,0.99
smith,male,0.93
squire,male,1
tobe,male,0.57
wyatt,male,0.99
alford,female,0.5
alton,male,0.97
andres,male,1
burl,female,0.5
cicero,male,1
dean,male,1
dorsey,female,0.5
enos,male,1
howell,male,1
loyd,female,0.5
mahlon,male,0.87
nat,male,1
omar,male,1
oran,male,1
parker,male,0.79
raleigh,female,0.67
reginald,male,0.98
rubin,male,0.85
seymour,female,0.5
wm,female,0.54
young,male,0.71
benjamine,male,1
carlton,male,0.95
eldridge,male,1
elzie,female,0.5
garrett,male,1
isham,male,1
johnson,male,0.94
larry,male,0.98
logan,male,0.94
merrill,female,0.55
mont,male,1
oren,male,0.95
pierre,male,0.96
rex,male,0.98
rodney,male,0.97
ted,male,0.89
webster,male,1
west,male,1
wheeler,male,0.79
willam,male,1
al,male,0.7
aloysius,male,1
alvie,male,0.58
art,male,0.8
bailey,female,0.96
benjaman,male,1
beverly,female,0.97
bishop,male,0.98
cloyd,male,1
coleman,male,0.98
dana,female,0.9
duncan,male,0.98
dwight,male,0.94
emile,male,0.86
evert,male,1
henderson,male,1
hunter,male,0.96
lem,male,1
luis,male,1
mathias,male,1
maynard,male,0.76
miguel,male,1
mortimer,male,1
nels,male,1
norris,male,0.8
pat,female,0.55
phil,male,0.77
rush,male,1
santiago,male,1
sol,female,0.65
sydney,female,0.98
thaddeus,male,0.99
thornton,male,1
tim,male,0.92
travis,male,0.99
truman,male,0.98
watson,male,1
webb,male,1
wellington,male,1
winfred,male,0.55
wylie,male,0.73
alec,male,0.99
basil,male,0.76
baxter,male,1
bertrand,male,1
buford,female,0.5
burr,male,1
cleveland,male,0.83
colonel,male,1
dempsey,male,0.67
early,male,0.68
ellsworth,male,1
fate,male,0.58
finley,female,0.6
gabe,male,1
garland,male,0.81
gerald,male,0.97
herschel,male,1
hezekiah,male,0.99
justus,male,0.91
lindsey,female,0.98
marcellus,male,0.97
olaf,male,1
olin,male,0.95
pablo,male,0.99
rolland,male,0.8
turner,male,0.95
verne,female,0.5
volney,male,1
williams,male,0.9
almon,male,0.55
alois,female,0.58
alonza,female,0.55
anson,male,0.98
authur,male,1
benton,male,1
billie,female,0.9
cornelious,male,0.67
darius,male,0.99
denis,male,0.95
dillard,male,1
doctor,male,1
elvin,male,0.95
eric,male,1
evans,male,0.86
gideon,male,1
haywood,male,1
hilliard,male,1
hosea,male,0.93
lincoln,male,0.97
lonzo,male,1
lucious,male,0.88
